0,1
0,2
0,23
1,0
1,8
1,23
2,0
2,3
2,4
2,5
2,23
3,2
3,23
4,2
4,5
5,2
5,4
5,16
5,17
5,18
5,37
7,9
7,10
7,11
7,12
7,14
7,21
8,1
9,7
9,10
9,12
9,34
10,7
10,9
10,11
10,12
10,13
10,14
10,15
10,21
11,7
11,10
11,12
11,21
12,7
12,9
12,10
12,11
12,13
12,14
12,15
12,21
12,41
13,10
13,12
13,14
13,15
13,21
13,41
13,42
13,44
14,7
14,10
14,12
14,13
14,15
14,21
15,10
15,12
15,13
15,14
15,21
15,41
16,5
16,17
16,37
17,5
17,16
18,5
18,37
21,7
21,10
21,11
21,12
21,13
21,14
21,15
21,41
21,42
21,44
23,0
23,1
23,2
23,3
34,9
37,5
37,16
37,18
40,41
41,12
41,13
41,15
41,21
41,40
41,44
42,13
42,21
44,13
44,21
44,41
