10,11
10,12
10,13
10,65
10,68
11,10
11,12
11,13
11,65
11,68
12,10
12,11
12,13
12,63
13,10
13,11
13,12
13,63
16,65
16,68
18,65
18,68
22,24
22,35
22,37
22,38
22,66
24,22
24,34
24,35
24,36
24,37
24,38
24,40
24,66
26,27
26,53
27,26
27,53
27,56
28,29
28,30
28,31
28,33
28,42
28,44
29,28
29,33
29,42
29,44
30,28
30,31
30,33
31,28
31,30
31,33
31,42
31,44
33,28
33,29
33,30
33,31
33,38
33,39
33,43
33,46
33,47
33,48
33,49
33,50
33,52
33,55
33,58
33,61
33,64
34,24
34,36
35,22
35,24
35,37
35,38
35,40
35,50
36,24
36,34
37,22
37,24
37,35
37,38
38,22
38,24
38,33
38,35
38,37
38,40
38,50
38,52
38,64
39,33
40,24
40,35
40,38
40,64
42,28
42,29
42,31
42,44
43,33
43,45
43,46
43,47
44,28
44,29
44,31
44,42
45,43
46,33
46,43
46,47
46,48
46,49
46,50
47,33
47,43
47,46
47,48
47,49
47,50
47,51
47,52
48,33
48,46
48,47
48,50
49,33
49,46
49,47
50,33
50,35
50,38
50,46
50,47
50,48
50,51
50,52
51,47
51,50
52,33
52,38
52,47
52,50
53,26
53,27
53,56
55,33
55,58
56,27
56,53
58,33
58,55
60,68
61,33
61,64
63,12
63,13
63,65
63,66
64,33
64,38
64,40
64,61
65,10
65,11
65,16
65,18
65,63
65,67
65,68
66,22
66,24
66,63
67,65
67,68
68,10
68,11
68,16
68,18
68,60
68,65
68,67
